Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
734,Entry short,2025-12-16 08:30,Short,25277,1,505540,-1135,-0.22,2105,0.42,-2640,-0.52,-52215,-5.22
735,Exit long,2025-12-16 16:45,Short,25321.5,1,506675,-245,-0.05,2205,0.44,-515,-0.10,-52460,-5.25
735,Entry long,2025-12-16 15:00,Long,25333.75,1,506675,-245,-0.05,2205,0.44,-515,-0.10,-52460,-5.25
736,Exit short,2025-12-16 20:15,Long,25333.25,1,506430,-235,-0.05,1140,0.23,-830,-0.16,-52695,-5.27
736,Entry short,2025-12-16 16:45,Short,25321.5,1,506430,-235,-0.05,1140,0.23,-830,-0.16,-52695,-5.27
737,Exit long,2025-12-16 23:30,Short,25318.25,1,506665,-300,-0.06,940,0.19,-455,-0.09,-52995,-5.30
737,Entry long,2025-12-16 20:15,Long,25333.25,1,506665,-300,-0.06,940,0.19,-455,-0.09,-52995,-5.30
738,Exit short,2025-12-17 01:15,Long,25402.5,1,506365,-1685,-0.33,530,0.10,-1895,-0.37,-54680,-5.47
738,Entry short,2025-12-16 23:30,Short,25318.25,1,506365,-1685,-0.33,530,0.10,-1895,-0.37,-54680,-5.47
739,Exit long,2025-12-17 08:30,Short,25445,1,508050,850,0.17,2120,0.42,-425,-0.08,-53830,-5.38
739,Entry long,2025-12-17 01:15,Long,25402.5,1,508050,850,0.17,2120,0.42,-425,-0.08,-53830,-5.38
740,Exit short,2025-12-17 15:15,Long,24955.5,1,508900,9790,1.92,10460,2.06,-960,-0.19,-44040,-4.40
740,Entry short,2025-12-17 08:30,Short,25445,1,508900,9790,1.92,10460,2.06,-960,-0.19,-44040,-4.40
741,Exit long,2025-12-17 19:00,Short,24942.5,1,499110,-260,-0.05,870,0.17,-1355,-0.27,-44300,-4.43
